feature,stfi_raw,stfi_norm,perm_raw,perm_norm,shap_raw,shap_norm,stfi_rank,perm_rank,shap_rank,seed
RETROSPECTIVE_COLLECTION,0.0031625361006989198,0.0031625361006989206,-0.001585144927536223,0.0,0.006460794028017327,0.014239714634025149,26,9,16,3
SAMPLE_COUNT,0.018325151640462334,0.018325151640462337,-0.001279438405797036,0.0,0.0014651786319695545,0.00322928196079955,10,9,25,3
SAMPLE_TYPE,0.01587238891279787,0.015872388912797873,-0.0017663043478260494,0.0,0.00304490483123769,0.006711028968972563,12,9,22,3
SAMPLE_TYPE_ID,0.012219593034642914,0.012219593034642918,-0.001143568840579671,0.0,0.0030231447368959394,0.00666306930140039,16,9,23,3
SEX,0.0031071073307982647,0.0031071073307982655,-0.000871829710144889,0.0,0.004428209091882343,0.009759858236426526,27,9,20,3
VIAL_NUMBER,0.10717533973277941,0.10717533973277944,0.0,0.0,1.5417985725770707e-05,3.398153787512435e-05,2,9,30,3
AGE,0.5128619994955746,0.5128619994955746,-0.008612754766600901,0.0,0.02226330712384061,0.04751288908028682,1,16,7,4
AJCC_NODES_PATHOLOGIC_PN,0.007014957896933152,0.007014957896933152,-0.008010081087004147,0.0,0.016093582046386192,0.03434586669541185,19,16,9,4
AJCC_STAGING_EDITION,0.00880871543123278,0.00880871543123278,-0.00544597852290157,0.0,0.03419684961253503,0.07298067234565177,14,16,5,4
DAYS_TO_COLLECTION,0.03515772492564628,0.03515772492564628,0.03456059609905766,0.1708559046587214,0.06269592779881245,0.133801534817832,5,2,2,4
FORM_COMPLETION_DATE,0.004470481230556317,0.004470481230556317,-0.008218277449046655,0.0,0.013869768808364293,0.02959995041596285,22,16,10,4
FRACTION_GENOME_ALTERED,0.0071849246923360345,0.0071849246923360345,0.002136752136752166,0.01056338028169027,0.02227513747265891,0.0475381366343927,18,10,6,4
ICD_10,0.006306210699467163,0.006306210699467163,0.003583168967784367,0.017713976164680435,0.010441217011032263,0.02228296016170663,20,7,13,4
ICD_O_3_HISTOLOGY,0.002868673799298766,0.002868673799298766,0.001753232522463318,0.008667388949079207,0.0023469516495137274,0.005008710196551671,26,11,23,4
ICD_O_3_SITE,0.003774281478155315,0.003774281478155315,-0.0029804952881875716,0.0,0.009802856499190228,0.02092061304841965,23,16,14,4
INITIAL_PATHOLOGIC_DX_YEAR,0.024241451752429616,0.024241451752429616,0.01378479070786766,0.0681473456121344,0.055527907936795136,0.11850401721477029,7,4,3,4
OS_MONTHS,0.055022095033344265,0.055022095033344265,0.11022353714661406,0.5449079089924153,0.08608398440249102,0.1837147904286342,4,1,1,4
SAMPLE_INITIAL_WEIGHT,0.005022539082622096,0.005022539082622096,0.006717072101687501,0.03320693391115929,0.011491869843741743,0.02452519449035938,21,5,11,4
SUBMITTED_TUMOR_DX_DAYS_TO,0.0021401922006268974,0.0021401922006268974,0.016195485426254676,0.08006500541711807,0.035749743038493965,0.0762947555899189,29,3,4,4
TISSUE_SOURCE_SITE,0.00242393594643751,0.00242393594643751,0.0008985316677624626,0.004442036836403153,0.02064597268034281,0.04406128004519652,27,12,8,4
TUMOR_SITE,0.0011983233954492088,0.0011983233954492088,0.005402147709840052,0.026706392199350077,0.006407600759192473,0.013674681054741452,30,6,18,4
ETHNICITY,0.07732953018444554,0.07732953018444554,0.00012053473591936056,0.0005958829902492324,0.0019490219351106196,0.004159474713385795,3,15,25,4
HISTORY_NEOADJUVANT_TRTYN,0.017378364520490654,0.017378364520490654,-0.0007232084155160967,0.0,0.0007995887377784818,0.0017064298128121865,9,16,29,4
HISTORY_OTHER_MALIGNANCY,0.0036757446990115755,0.0036757446990115755,0.0002410694718387137,0.001191765980498428,0.0019590549281623976,0.004180886468762513,24,14,24,4
NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,0.015851697673083486,0.015851697673083486,-0.0009861932938855658,0.0,0.010706960658558976,0.022850092815381737,11,16,12,4
OCT_EMBEDDED,0.007236354118138777,0.007236354118138777,-0.0027942143326758337,0.0,0.0019026416859700107,0.004060493029277685,17,16,26,4
PRIMARY_MELANOMA_KNOWN_DX,0.00885261341829125,0.00885261341829125,-0.0003177733946964449,0.0,0.007045119534018254,0.015035231788125592,13,16,17,4
PROSPECTIVE_COLLECTION,0.015897084129480033,0.015897084129480033,0.003298268682884098,0.016305525460455165,0.0027820804645054186,0.00593733355907978,10,8,22,4
RACE,0.019020562755388014,0.019020562755388014,-0.0014245014245013936,0.0,0.004122743396285162,0.008798488409856258,8,16,20,4
RADIATION_TREATMENT_ADJUVANT,0.007732138428895862,0.007732138428895862,-0.0031229454306377137,0.0,0.001333514756099163,0.0028458996833232056,15,16,28,4
RETROSPECTIVE_COLLECTION,0.010074669450096262,0.010074669450096262,-0.0004163927240850203,0.0,0.0032114024195968706,0.006853564302271951,12,16,21,4
SAMPLE_COUNT,0.028301632957962668,0.028301632957962668,-0.0015888669734823242,0.0,0.001564283951939235,0.0033383921573346257,6,16,27,4
SAMPLE_TYPE,0.007384209259978758,0.007384209259978758,0.0006574621959237525,0.0032502708559047438,0.005517024902392028,0.011774072503353807,16,13,19,4
SAMPLE_TYPE_ID,0.002368150900482671,0.002368150900482671,-0.00012053473591933465,0.0,0.007278677257096498,0.015533675353977393,28,16,16,4
SEX,0.003623652020601148,0.003623652020601148,0.002706552706552738,0.01338028169014098,0.008369493519405045,0.017861623838438596,25,9,15,4
VIAL_NUMBER,0.09677708842354332,0.09677708842354332,0.0,0.0,0.00013977064799047408,0.00029828934478201617,2,16,30,4
